종목,코드,시장,현재가,전일종가,등락률,거래량,현재가 업데이트시각,추천 근거,진입 전략,리스크
동화약품,000020,KOSPI,5360,5240,2.88,76746,2026-06-09T16:09:55,,,
KR모터스,000040,KOSPI,324,327,1.57,161866,2026-06-09T16:09:55,,,
경방,000050,KOSPI,8110,8150,6.01,53290,2026-06-09T16:09:55,,,
삼양홀딩스,000070,KOSPI,54000,54500,3.65,12537,2026-06-09T16:09:55,,,
하이트진로,000080,KOSPI,15840,15900,0.89,157476,2026-06-09T16:09:55,,,
하이트진로2우B,000087,KOSPI,12850,12840,0.63,3997,2026-06-09T16:09:55,,,
TIGER 엔비디아미국채,000000,KOSPI,0,10160,0.0,0,,,,
유한양행,000100,KOSPI,76700,76900,5.94,351448,2026-06-09T16:09:55,,,
유한양행우,000105,KOSPI,64600,64800,2.7,2368,2026-06-09T16:09:55,,,
CJ대한통운,000120,KOSPI,80700,80300,3.99,72742,2026-06-09T16:09:55,,,
하이트진로홀딩스,000140,KOSPI,8010,8040,0.63,35369,2026-06-09T16:09:55,,,
하이트진로홀딩스우,000145,KOSPI,9760,9610,-2.01,97,2026-06-09T16:09:55,,,
두산,000150,KOSPI,1566000,1584000,-0.76,157454,2026-06-09T16:09:55,,,
두산우,000155,KOSPI,544000,549000,0.37,25672,2026-06-09T16:09:55,,,
두산2우B,000157,KOSPI,434500,424500,-1.7,2247,2026-06-09T16:09:55,,,
성창기업지주,000180,KOSPI,5070,5060,1.71,21424,2026-06-09T16:09:55,,,
마이티 바이오시밀러&,000010,KOSPI,0,9775,0.0,0,,,,
DL,000210,KOSPI,47150,47600,2.28,97541,2026-06-09T16:09:55,,,
DL우,000215,KOSPI,21450,21450,2.88,3406,2026-06-09T16:09:55,,,
유유제약,000220,KOSPI,3805,3845,4.53,222109,2026-06-09T16:09:55,,,
유유제약1우,000225,KOSPI,3815,3750,-2.55,53933,2026-06-09T16:09:55,,,
유유제약2우B,000227,KOSPI,10400,10580,1.46,896,2026-06-09T16:09:55,,,
일동홀딩스,000230,KOSPI,6840,7000,3.48,18325,2026-06-09T16:09:55,,,
한국앤컴퍼니,000240,KOSPI,25700,25850,7.53,167165,2026-06-09T16:09:55,,,
기아,000270,KOSPI,164300,159700,8.52,2331570,2026-06-09T16:09:55,"EV6 북미 판매 호조, 전기차 매출 확대","75,000원 이상 매수",글로벌 EV 시장 경쟁 심화
